Course,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,BDLG/Room,Instructor,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives,Instructor provides feedback,Importance of subject,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
94833,Decision Analysis and Multicriteria Decision Making,6,A3,Y,TR,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Caulkins, Jonathan",9.902000000000003,4.859999999999999,4.544666666666667,4.6693333333333324,4.338,4.836,4.866,4.669333333333333,4.91,4.824
94833,Decision Analysis and Multicriteria Decision Making,6,A3,Y,F,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Caulkins, Jonathan",9.902000000000003,4.859999999999999,4.544666666666667,4.6693333333333324,4.338,4.836,4.866,4.669333333333333,4.91,4.824
94834,Applied Econometrics I,6,A3,Y,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1206,"Jha, Akshaya",9.074666666666667,4.054666666666668,3.7066666666666666,3.741999999999999,3.508666666666667,4.107333333333333,3.458666666666667,4.5280000000000005,3.470000000000001,3.6386666666666665
94834,Applied Econometrics I,6,A3,Y,F,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Jha, Akshaya",9.074666666666667,4.054666666666668,3.7066666666666666,3.741999999999999,3.508666666666667,4.107333333333333,3.458666666666667,4.5280000000000005,3.470000000000001,3.6386666666666665
94834,Applied Econometrics I,6,B3,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1206,"Jha, Akshaya",9.074666666666667,4.054666666666668,3.7066666666666666,3.741999999999999,3.508666666666667,4.107333333333333,3.458666666666667,4.5280000000000005,3.470000000000001,3.6386666666666665
94834,Applied Econometrics I,6,B3,Y,F,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Jha, Akshaya",9.074666666666667,4.054666666666668,3.7066666666666666,3.741999999999999,3.508666666666667,4.107333333333333,3.458666666666667,4.5280000000000005,3.470000000000001,3.6386666666666665
94835,Applied Econometrics II,6,A4,Y,MW,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1204,"Jha, Akshaya",9.5,4.25923076923077,3.8376923076923077,3.983076923076923,3.612307692307691,4.181538461538461,3.464615384615385,4.664615384615386,3.607692307692308,3.7799999999999994
94835,Applied Econometrics II,6,A4,Y,F,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Jha, Akshaya",9.5,4.25923076923077,3.8376923076923077,3.983076923076923,3.612307692307691,4.181538461538461,3.464615384615385,4.664615384615386,3.607692307692308,3.7799999999999994
94835,Applied Econometrics II,6,B4,Y,MW,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1204,"Jha, Akshaya",9.5,4.25923076923077,3.8376923076923077,3.983076923076923,3.612307692307691,4.181538461538461,3.464615384615385,4.664615384615386,3.607692307692308,3.7799999999999994
94835,Applied Econometrics II,6,B4,Y,F,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH A301,"Jha, Akshaya",9.5,4.25923076923077,3.8376923076923077,3.983076923076923,3.612307692307691,4.181538461538461,3.464615384615385,4.664615384615386,3.607692307692308,3.7799999999999994
